Change	change
Task	task
Fix	fix
File	file
Feature	feature
DesignDecision	design-decision
CodeChange	code-change
Implementation	implementation
TestSuite	test
TestResult	test-result
Code	code
Project	project
Session	change
Module	module
Fact	finding
Lesson	finding
Server	service
Convention	config
Milestone	plan
Assessment	finding
Recommendation	finding
KnownIssue	bug
RefactorTask	task
Performance_problem	bug
NetworkConfig	config
NetworkingConfig	config
NetworkInterface	infrastructure
System_config	config
SystemConfig	config
Infrastructure	infrastructure
Repository	project
Artifact	file
Configuration	config
System	infrastructure
Peer	infrastructure
